competition_uuid,competition_date,competition_name,team1_name,team1_uuid,team2_name,team2_uuid,match_uuid,match_team1_uuid,match_team1_players,match_team2_uuid,match_team1_players-2,set_uuid,first_team_scope,second_team_scope
bdf169ad-0d32-4648-a8e9-ce4a30510d38,2023-09-28,28.09.2023 ЫкЫрлЫмЫрка - Шашки наголо,ЫкЫрлЫмЫрка,1e9c8ea2-a389-4971-a7ca-1c95bde6f603,Шашки наголо,c2a70d74-b18c-4082-826f-11cca698c2a3,9af7d130-b8de-49e5-b5ea-aef027b206f9,aaf38d51-cdb2-4d45-b3fb-818abaf96ed3,a95a686a-c6da-4861-a0d6-87d8e34b1492;df0b8dea-b5da-4024-8d1d-71f6875193b4,1d93222b-5f13-4a40-b80d-393558dedd4b,491f9f97-6487-4632-a836-f184d91aaf82;3e2569ce-5760-4e74-a2ca-65fa54a7a621,2961efad-11cf-4bfa-a38d-613f1218ee4a,6,4
bdf169ad-0d32-4648-a8e9-ce4a30510d38,2023-09-28,28.09.2023 ЫкЫрлЫмЫрка - Шашки наголо,ЫкЫрлЫмЫрка,1e9c8ea2-a389-4971-a7ca-1c95bde6f603,Шашки наголо,c2a70d74-b18c-4082-826f-11cca698c2a3,c1282e3d-3dc3-4777-9c82-dcdbed0faf07,ab1f491b-614e-441c-969f-923be109aaf7,ad6385c6-752d-485e-b43b-d79e947178cf;f93b5e8a-0b54-4ab5-9508-bb6f07c21886,f908fba0-a05c-42e2-adc9-1fb9921eec8d,8c4193fe-0ca0-4d34-ad58-654c1690fe63;15f1f778-e063-47d5-83b6-e6384d7537d5,1d4454c4-194e-4d2a-9141-c669944ff098,3,8
bdf169ad-0d32-4648-a8e9-ce4a30510d38,2023-09-28,28.09.2023 ЫкЫрлЫмЫрка - Шашки наголо,ЫкЫрлЫмЫрка,1e9c8ea2-a389-4971-a7ca-1c95bde6f603,Шашки наголо,c2a70d74-b18c-4082-826f-11cca698c2a3,e8323d2f-4076-4300-bb91-7bed818649eb,99c97c3b-3d83-4006-bc59-522a74578290,df0b8dea-b5da-4024-8d1d-71f6875193b4,b9963c6c-0d0b-4c19-b9e8-d171869ea42e,8c4193fe-0ca0-4d34-ad58-654c1690fe63,a0f070eb-0d20-4e7f-a20b-2440de79c5bb,9,3
bdf169ad-0d32-4648-a8e9-ce4a30510d38,2023-09-28,28.09.2023 ЫкЫрлЫмЫрка - Шашки наголо,ЫкЫрлЫмЫрка,1e9c8ea2-a389-4971-a7ca-1c95bde6f603,Шашки наголо,c2a70d74-b18c-4082-826f-11cca698c2a3,0101e86d-d037-4754-95e0-b8a230138f29,e8b9705d-311d-4e34-96c1-70b1147e45be,79c4db75-ccbf-4cc0-96df-00f03a498f8e,39354821-7a09-48ba-b15e-02d5e019b0d6,15f1f778-e063-47d5-83b6-e6384d7537d5,8517119b-c6b6-4a29-8f86-11dd9064f859,1,9
bdf169ad-0d32-4648-a8e9-ce4a30510d38,2023-09-28,28.09.2023 ЫкЫрлЫмЫрка - Шашки наголо,ЫкЫрлЫмЫрка,1e9c8ea2-a389-4971-a7ca-1c95bde6f603,Шашки наголо,c2a70d74-b18c-4082-826f-11cca698c2a3,11233078-6817-48a0-bb08-733d2a97fcc0,662e1713-66f1-4c7b-93a0-d7615c3fc3c1,ad6385c6-752d-485e-b43b-d79e947178cf;f93b5e8a-0b54-4ab5-9508-bb6f07c21886,abefda1b-320e-4ed9-bee6-8fc83ed9d9e9,05fad159-2cd2-4729-9116-5e9e5ef6e04e;3e2569ce-5760-4e74-a2ca-65fa54a7a621,2957a8b8-318a-4bee-bf7c-b3a486c556c1,5,6
99507e63-fb0b-4a5a-b544-162df6f28040,2023-09-29,29.09.2023 Shoot 'n Scoot - Old school,Shoot 'n Scoot,b94fb282-2e38-4ada-9ea5-6bd3ae2dc079,Old school,47559a69-d786-4f03-898e-5a1f45d9113b,c7145e26-9fd1-4c4d-83c4-80da8ec9dedc,59359628-f779-4fff-ab4e-b85407020381,8384440e-561d-4868-a34a-9e40a23eec69;004c7725-49f8-4cb0-ab9e-5d992feeb587,2149fcc8-593f-4672-ac96-c4346efa312d,56db5f1c-8c34-42c9-933c-04c33f8c96fc;04bd64a3-d9d3-4c11-88fd-cbf4a629db43,a13d659c-9dd2-4fa5-aacb-b55567b46669,6,1
99507e63-fb0b-4a5a-b544-162df6f28040,2023-09-29,29.09.2023 Shoot 'n Scoot - Old school,Shoot 'n Scoot,b94fb282-2e38-4ada-9ea5-6bd3ae2dc079,Old school,47559a69-d786-4f03-898e-5a1f45d9113b,cb200699-2810-4771-91c5-0968c2a4c60b,d482feab-afec-4ed2-9f64-fd4d6826fd2a,3bf0504b-9ac3-424f-9378-69c3e059bb4a;0838f553-0966-4ed3-974e-d04df5828558,0b97354b-940b-49c3-8f65-6bc396769ea4,e40c04e8-cc38-481e-b4b0-0a4e0cfc1df5;25238906-6419-4fb7-a3f8-e2fe4f9d7930,0a99fb37-2dd8-4308-b399-ad70a2bc05a3,6,4
99507e63-fb0b-4a5a-b544-162df6f28040,2023-09-29,29.09.2023 Shoot 'n Scoot - Old school,Shoot 'n Scoot,b94fb282-2e38-4ada-9ea5-6bd3ae2dc079,Old school,47559a69-d786-4f03-898e-5a1f45d9113b,b9138898-00f9-4de8-a895-f7fc4e4f50ff,25c52298-83da-4e28-b314-cd1862b6666f,fb1d9552-a406-4eec-8895-47ade1abce2b,65a56a4b-a7c3-495c-808f-5934f723ead2,56db5f1c-8c34-42c9-933c-04c33f8c96fc,12b44746-f477-43d7-a416-1ba32dbb43dc,6,0
99507e63-fb0b-4a5a-b544-162df6f28040,2023-09-29,29.09.2023 Shoot 'n Scoot - Old school,Shoot 'n Scoot,b94fb282-2e38-4ada-9ea5-6bd3ae2dc079,Old school,47559a69-d786-4f03-898e-5a1f45d9113b,4a954870-64fb-408a-a604-c0bc76f08314,8e06e753-f878-4408-9e1d-7436fe1b25eb,40088b33-1ed9-46a1-8879-64e35524b732,53168f41-f8ee-488a-8ee9-cb4c6c65406a,04bd64a3-d9d3-4c11-88fd-cbf4a629db43,2aa40d84-a2f0-464e-a3d8-75251b7258d2,6,2
99507e63-fb0b-4a5a-b544-162df6f28040,2023-09-29,29.09.2023 Shoot 'n Scoot - Old school,Shoot 'n Scoot,b94fb282-2e38-4ada-9ea5-6bd3ae2dc079,Old school,47559a69-d786-4f03-898e-5a1f45d9113b,e8f67329-1630-4d00-a374-8f30b332a538,145eaef6-e26e-4895-bffc-a48bb8ff9ceb,8384440e-561d-4868-a34a-9e40a23eec69;3bf0504b-9ac3-424f-9378-69c3e059bb4a,4c224f24-4540-4cb5-8720-a2cd4c3e0324,e40c04e8-cc38-481e-b4b0-0a4e0cfc1df5;25238906-6419-4fb7-a3f8-e2fe4f9d7930,95064bbd-7800-4292-acf1-c8c4d52fb884,6,5
d7201d5f-c9b4-40e4-945a-512b9dc222fe,2023-10-04,04.10.2023 Шашки наголо - Кикерные котики,Шашки наголо,c2a70d74-b18c-4082-826f-11cca698c2a3,Кикерные котики,2a7b3d01-2a0a-48b2-8369-2d70465d5f70,c242fa29-9372-404b-9d9a-196a20154a16,50d9e706-0d7a-4641-a4df-78ec8685914a,491f9f97-6487-4632-a836-f184d91aaf82;3e2569ce-5760-4e74-a2ca-65fa54a7a621,3edbf31a-2c5d-4418-89bd-fdc04a043c3b,3348bb57-ed10-4245-b1f0-62c27f64492b;6eb26bed-faba-4067-b3ec-2e66759ed889,ecf83a71-3424-4db9-8593-ed8c01d04215,6,0
d7201d5f-c9b4-40e4-945a-512b9dc222fe,2023-10-04,04.10.2023 Шашки наголо - Кикерные котики,Шашки наголо,c2a70d74-b18c-4082-826f-11cca698c2a3,Кикерные котики,2a7b3d01-2a0a-48b2-8369-2d70465d5f70,47f9dc40-afcd-4abf-8434-cb819adea97c,0d693249-70aa-4506-b627-5243f02b5739,8c4193fe-0ca0-4d34-ad58-654c1690fe63;15f1f778-e063-47d5-83b6-e6384d7537d5,cbbfad9c-3970-4ce4-86a4-8556f52a8e68,162fe512-e0aa-48f7-a092-c69e30ff8ec7;416dbaf3-e2f4-4d2d-a183-41ca25884aea,4979dc57-f6ec-4aae-a100-c0bfe7436404,5,12
d7201d5f-c9b4-40e4-945a-512b9dc222fe,2023-10-04,04.10.2023 Шашки наголо - Кикерные котики,Шашки наголо,c2a70d74-b18c-4082-826f-11cca698c2a3,Кикерные котики,2a7b3d01-2a0a-48b2-8369-2d70465d5f70,0588c962-9164-44eb-9700-c3ecc4496633,a1de655e-dbb0-481a-abfa-bc140dbfc7db,5a57a28e-c702-4b19-b82c-d8bb4faa5796,7b2e6732-0071-4f4c-8fe2-03718617c3f2,a9c89a9d-7e08-4bea-808f-5654867f9f20,db9605d2-c55e-4454-b661-c4bcbb6ebc0e,7,2
d7201d5f-c9b4-40e4-945a-512b9dc222fe,2023-10-04,04.10.2023 Шашки наголо - Кикерные котики,Шашки наголо,c2a70d74-b18c-4082-826f-11cca698c2a3,Кикерные котики,2a7b3d01-2a0a-48b2-8369-2d70465d5f70,8db8b492-f59f-4b31-bbd2-91aa4deb85b7,8f909584-766d-4298-8903-1e32cd588c39,3e2569ce-5760-4e74-a2ca-65fa54a7a621,3177dca2-3e32-4ec3-bd9a-ff8eeedcb5a7,6eb26bed-faba-4067-b3ec-2e66759ed889,e04174eb-7cd8-4840-8b4c-f51eb8fa9ba1,6,8
d7201d5f-c9b4-40e4-945a-512b9dc222fe,2023-10-04,04.10.2023 Шашки наголо - Кикерные котики,Шашки наголо,c2a70d74-b18c-4082-826f-11cca698c2a3,Кикерные котики,2a7b3d01-2a0a-48b2-8369-2d70465d5f70,4eeb9fa1-aa7a-4689-a4d2-ddc43d2b1c59,82a5bd51-80b3-4f28-a3bc-6f90fa53e1e5,05fad159-2cd2-4729-9116-5e9e5ef6e04e;15f1f778-e063-47d5-83b6-e6384d7537d5,adc0e78b-c785-477a-8386-ee0668c2ac80,162fe512-e0aa-48f7-a092-c69e30ff8ec7;e3093e6a-0a17-4b37-a5c7-adca7759a38f,4918ac98-85a4-437e-b42b-4dfaa1c8b212,6,7
f19e2846-0b56-4f79-b5f9-38328e97fe73,2023-10-05,05.10.2023 17:00:00 Shoot 'n Scoot - Sheeesh!,Shoot 'n Scoot,b94fb282-2e38-4ada-9ea5-6bd3ae2dc079,Sheeesh!,fdc44df0-9710-48bc-88ff-c7cabd05840f,f01ef8dd-972d-49b5-9802-def6a711614e,7697b8dc-0a97-4951-869c-34449b933227,40088b33-1ed9-46a1-8879-64e35524b732;004c7725-49f8-4cb0-ab9e-5d992feeb587,fd4d9cfe-516f-4dc1-af7c-8a2836c02ead,83259776-fd37-4e5d-ab4b-7a69fbc56071;90a3a1b4-4769-4317-9483-5325316556ac,0a27e1c4-9718-40a5-841d-173fee93156d,6,2
f19e2846-0b56-4f79-b5f9-38328e97fe73,2023-10-05,05.10.2023 17:00:00 Shoot 'n Scoot - Sheeesh!,Shoot 'n Scoot,b94fb282-2e38-4ada-9ea5-6bd3ae2dc079,Sheeesh!,fdc44df0-9710-48bc-88ff-c7cabd05840f,8bcfc728-5a39-4f3b-aed6-36213b9ac93c,ff7de926-f343-4adb-9431-46068df0814c,8384440e-561d-4868-a34a-9e40a23eec69;3bf0504b-9ac3-424f-9378-69c3e059bb4a,764020fd-8c4f-4980-9e26-459e78210276,8c75f19d-c03a-4c3f-b862-8cb0048cf47a;6d505517-29e9-48f6-812f-a9522ee1482a,4729bdb7-237a-40df-b6ed-aa89151d6113,5,10
f19e2846-0b56-4f79-b5f9-38328e97fe73,2023-10-05,05.10.2023 17:00:00 Shoot 'n Scoot - Sheeesh!,Shoot 'n Scoot,b94fb282-2e38-4ada-9ea5-6bd3ae2dc079,Sheeesh!,fdc44df0-9710-48bc-88ff-c7cabd05840f,0b5f2f62-b033-4e4e-80a7-f308d23b2209,f2ad673d-275c-4453-ad9a-29270ada765a,0838f553-0966-4ed3-974e-d04df5828558,aea55dc4-0f55-4591-865c-ad772edba485,90a3a1b4-4769-4317-9483-5325316556ac,5c79dde2-f74a-402d-b805-d3daa1934113,2,6
f19e2846-0b56-4f79-b5f9-38328e97fe73,2023-10-05,05.10.2023 17:00:00 Shoot 'n Scoot - Sheeesh!,Shoot 'n Scoot,b94fb282-2e38-4ada-9ea5-6bd3ae2dc079,Sheeesh!,fdc44df0-9710-48bc-88ff-c7cabd05840f,1ca8476c-8981-416d-a257-465cbb144a4e,d3711fbc-d66a-4566-93bd-5b4ddbe57cde,40088b33-1ed9-46a1-8879-64e35524b732,5c822a3e-0576-442e-a8e2-2cfe62d01dd2,6d505517-29e9-48f6-812f-a9522ee1482a,f872cb54-136e-4050-8cb0-1e0a105fe459,8,6
f19e2846-0b56-4f79-b5f9-38328e97fe73,2023-10-05,05.10.2023 17:00:00 Shoot 'n Scoot - Sheeesh!,Shoot 'n Scoot,b94fb282-2e38-4ada-9ea5-6bd3ae2dc079,Sheeesh!,fdc44df0-9710-48bc-88ff-c7cabd05840f,a1accd7a-d568-4210-9db6-4a44b0bd2f61,5f1258cf-3785-4549-8d30-db8cec563fc6,8384440e-561d-4868-a34a-9e40a23eec69;3bf0504b-9ac3-424f-9378-69c3e059bb4a,c381857a-f30b-40fb-b3b8-7c60a15b1472,8c75f19d-c03a-4c3f-b862-8cb0048cf47a;149742ee-776a-4cd2-9a9c-1bd54dec738a,920d9ce4-2dc9-40d1-b617-0020f7499d20,4,6
ecf19ce6-2e1f-4a89-9923-8bf959d63548,2023-10-12,12.10.2023 Sheeesh! - ЫкЫрлЫмЫрка,Sheeesh!,fdc44df0-9710-48bc-88ff-c7cabd05840f,ЫкЫрлЫмЫрка,1e9c8ea2-a389-4971-a7ca-1c95bde6f603,cf24c039-6ac2-4b2e-bacf-dd7f509cb436,2b70b091-747b-4529-b25a-b80301d189a3,90a3a1b4-4769-4317-9483-5325316556ac;149742ee-776a-4cd2-9a9c-1bd54dec738a,96bcbdaf-6cc5-47bd-b2cf-4cfee23dc242,dbef3e01-2fca-4e3f-a005-5b8e47529942;df0b8dea-b5da-4024-8d1d-71f6875193b4,c86a53ff-56f9-4a55-b85f-00654f088516,2,6
ecf19ce6-2e1f-4a89-9923-8bf959d63548,2023-10-12,12.10.2023 Sheeesh! - ЫкЫрлЫмЫрка,Sheeesh!,fdc44df0-9710-48bc-88ff-c7cabd05840f,ЫкЫрлЫмЫрка,1e9c8ea2-a389-4971-a7ca-1c95bde6f603,27b65d35-7542-47a0-b118-c75e8d527903,465a47e4-42b2-491d-9823-5ac0dd569bd5,046e210d-d81d-450b-ad1e-cf2d622a3325;6d505517-29e9-48f6-812f-a9522ee1482a,e3cd7ac5-9196-4d58-94d4-fe022cc39928,ad6385c6-752d-485e-b43b-d79e947178cf;f5a6996b-6857-47c2-ae8a-298039f930b9,3875756f-3132-49cc-a453-a4a70b67d1ae,10,3
ecf19ce6-2e1f-4a89-9923-8bf959d63548,2023-10-12,12.10.2023 Sheeesh! - ЫкЫрлЫмЫрка,Sheeesh!,fdc44df0-9710-48bc-88ff-c7cabd05840f,ЫкЫрлЫмЫрка,1e9c8ea2-a389-4971-a7ca-1c95bde6f603,5890bd66-ea1b-4f37-b8a5-ce3dbcc1cc77,748e8922-b2bd-43ea-82bc-d744f9b897d9,6d505517-29e9-48f6-812f-a9522ee1482a,1cfb1bfb-7c11-4252-b47a-a4b1fab90a86,79c4db75-ccbf-4cc0-96df-00f03a498f8e,dd163152-b7db-426a-b378-173193f56e07,6,6
ecf19ce6-2e1f-4a89-9923-8bf959d63548,2023-10-12,12.10.2023 Sheeesh! - ЫкЫрлЫмЫрка,Sheeesh!,fdc44df0-9710-48bc-88ff-c7cabd05840f,ЫкЫрлЫмЫрка,1e9c8ea2-a389-4971-a7ca-1c95bde6f603,134ab890-109b-4e40-9095-48d7b1084ba1,235f7f70-880a-4791-8bc8-a2b8bba8270e,046e210d-d81d-450b-ad1e-cf2d622a3325,0f6f8647-d701-45ee-8362-5e78011ef0d5,df0b8dea-b5da-4024-8d1d-71f6875193b4,a5528d09-2565-4656-ab7c-93303c731b40,4,9
